t,y1,y2
10.5004,14.66,17.0682
10.6004,18.3221,19.9149
10.7004,24.4256,22.7233
10.8004,25.6463,25.5478
10.9004,26.867,28.2405
11.0004,31.7498,30.8943
11.1004,34.1912,33.555
11.2004,36.6326,36.139
11.3004,37.8533,38.6204
11.4004,43.9568,41.159
11.5004,45.1775,43.6629
11.6004,45.1775,46.0467
11.7004,48.8396,48.4876
11.8004,52.5018,50.8987
11.9004,52.5018,53.3533
12.0004,54.9432,55.701
12.1004,57.3846,57.9573
12.2004,61.0467,60.2269
12.3004,63.4881,62.5096
12.4004,65.9295,64.7039
12.5004,65.9295,66.8284
12.6004,69.5916,68.969
12.7004,70.8123,70.9969
12.8004,73.2537,73.0301
12.9004,74.4744,75.0047
13.0004,78.1365,76.969
13.1004,79.3572,78.9808
13.2004,80.5779,80.992
13.3004,83.0193,82.9168
13.4004,85.4607,84.8621
13.5004,87.9021,86.8001
13.6004,90.3436,88.7063
13.7004,91.5643,90.5838
13.8004,92.785,92.3206
13.9004,94.0057,94.0525
14.0004,98.8885,95.8509
14.1004,98.8885,97.5452
14.2004,97.6678,99.1185
14.3004,100.1092,100.8152
14.4004,102.5506,102.4212
14.5004,103.7713,104.0047
14.6004,106.2127,105.577
14.7004,109.8748,107.1009
14.8004,113.5369,108.6741
14.9004,115.9783,110.1507
15.0004,111.0955,111.5232
15.1004,112.3162,112.908
15.2004,112.3162,114.3875
15.3004,114.7576,115.7308
15.4004,117.199,117.0525
15.5004,115.9783,118.3514
15.6004,119.6404,119.6702
15.7004,123.3025,120.9764
15.8004,124.5232,122.2034
15.9004,120.8611,123.5091
16.0004,123.3025,124.7923
16.1004,126.9646,126.0467
16.2004,126.9646,127.2659
16.3004,128.1854,128.4349
16.4004,128.1854,129.6043
16.5004,129.4061,130.7693
16.6004,133.0682,131.8733
16.7004,133.0682,132.907
16.8004,134.2889,134.0184
16.9004,136.7303,135.1355
17.0004,136.7303,136.2381
17.1004,135.5096,137.2313
17.2004,135.5096,138.1722
17.3004,142.8338,139.1512
17.4004,141.6131,140.1966
17.5004,141.6131,141.2015
17.6004,141.6131,142.1985
17.7004,142.8338,143.2215
17.8004,144.0545,144.2679
17.9004,147.7166,145.2244
18.0004,145.2752,146.1375
18.1004,147.7166,147.0755
18.2004,147.7166,148.0125
18.3004,151.3787,148.9271
18.4004,150.158,149.7708
18.5004,148.9373,150.5965
18.6004,151.3787,151.3714
18.7004,152.5994,152.1668
18.8004,152.5994,152.8406
18.9004,155.0408,153.4944
19.0004,153.8201,154.2649
19.1004,157.4822,154.9827
19.2004,153.8201,155.679
19.3004,157.4822,156.4065
19.4004,158.7029,157.1326
19.5004,156.2615,157.9056
19.6004,157.4822,158.7483
19.7004,158.7029,159.5467
19.8004,163.5857,160.3489
19.9004,161.1443,161.1082
20.0004,163.5857,161.7913
20.1004,161.1443,162.5477
20.2004,166.0271,163.3084
20.3004,164.8064,164.0301
20.4004,166.0271,164.7449
20.5004,164.8064,165.4261
20.6004,166.0271,166.0535
20.7004,168.4686,166.6038
20.8004,168.4686,167.1937
20.9004,168.4686,167.7957
21.0004,168.4686,168.3724
21.1004,169.6893,168.8953
21.2004,169.6893,169.4476
21.3004,172.1307,169.9466
21.4004,170.91,170.4671
21.5004,172.1307,170.9212
21.6004,169.6893,171.3543
21.7004,172.1307,171.9217
21.8004,173.3514,172.4046
21.9004,174.5721,172.8929
22.0004,172.1307,173.3626
22.1004,175.7928,173.8821
22.2004,174.5721,174.326
22.3004,177.0135,174.8099
22.4004,175.7928,175.1937
22.5004,174.5721,175.6619
22.6004,175.7928,176.0584
22.7004,175.7928,176.4271
22.8004,178.2342,176.8577
22.9004,177.0135,177.2474
23.0004,178.2342,177.6331
23.1004,178.2342,178.0042
23.2004,178.2342,178.4163
23.3004,183.117,178.7908
23.4004,181.8963,179.1785
23.5004,179.4549,179.5101
23.6004,179.4549,179.907
23.7004,180.6756,180.2337
23.8004,180.6756,180.5618
23.9004,184.3377,180.9329
24.0004,183.117,181.2845
24.1004,191.6619,181.6707
24.2004,185.5584,182.0115
24.3004,185.5584,182.3914
24.4004,181.8963,182.8016
24.5004,181.8963,183.2078
24.6004,179.4549,183.6595
24.7004,178.2342,184.1038
24.8004,179.4549,184.4803
24.9004,185.5584,184.8436
25.0004,185.5584,185.2283
25.1004,187.9998,185.573
25.2004,186.7791,185.9529
25.3004,186.7791,186.2649
25.4004,187.9998,186.5188
25.5004,185.5584,186.804
25.6004,187.9998,187.0872
25.7004,187.9998,187.3631
25.8004,186.7791,187.5975
25.9004,186.7791,187.9056
26.0004,189.2205,188.1766
26.1004,187.9998,188.4324
26.2004,189.2205,188.6014
26.3004,185.5584,188.845
26.4004,189.2205,189.1199
26.5004,191.6619,189.3567
26.6004,190.4412,189.5662
26.7004,189.2205,189.8118
26.8004,190.4412,190.1282
26.9004,189.2205,190.4251
27.0004,190.4412,190.7015
27.1004,192.8826,191.0105
27.2004,192.8826,191.3372
27.3004,192.8826,191.6106
27.4004,192.8826,191.827
27.5004,191.6619,192.0042
27.6004,192.8826,192.2283
27.7004,192.8826,192.4173
27.8004,192.8826,192.5799
27.9004,192.8826,192.6468
28.0004,191.6619,192.7596
28.1004,191.6619,192.8963
28.2004,194.1033,193.0218
28.3004,192.8826,193.1409
28.4004,191.6619,193.285
28.5004,191.6619,193.3987
28.6004,197.7654,193.5232
28.7004,196.5447,193.6072
28.8004,192.8826,193.6849
28.9004,192.8826,193.8338
29.0004,195.324,193.9759
29.1004,192.8826,194.0799
29.2004,194.1033,194.2386
29.3004,194.1033,194.3733
29.4004,191.6619,194.5691
29.5004,195.324,194.8387
29.6004,194.1033,195.0569
29.7004,194.1033,195.24
29.8004,195.324,195.4114
29.9004,194.1033,195.5335
30.0004,197.7654,195.6409
30.1004,197.7654,195.7005
30.2004,196.5447,195.7425
30.3004,195.324,195.8392
30.4004,195.324,195.9188
30.5004,197.7654,196.0745
30.6004,195.324,196.1111
30.7004,195.324,196.1761
30.8004,192.8826,196.284
30.9004,196.5447,196.3396
31.0004,196.5447,196.4573
31.1004,197.7654,196.5857
31.2004,197.7654,196.7166
31.3004,194.1033,196.8841
31.4004,197.7654,197.0125
31.5004,195.324,197.0682
31.6004,195.324,197.2195
31.7004,196.5447,197.4407
31.8004,197.7654,197.6727
31.9004,198.9861,198.0125
32.0004,196.5447,198.2615
32.1004,196.5447,198.4813
32.2004,196.5447,198.7649
32.3004,197.7654,198.9183
32.4004,197.7654,199.0784
32.5004,198.9861,199.2356
32.6004,200.2068,199.3831
32.7004,201.4275,199.5223
32.8004,196.5447,199.5911
32.9004,200.2068,199.5711
33.0004,202.6482,199.5838
33.1004,200.2068,199.6102
33.2004,201.4275,199.5716
33.3004,197.7654,199.6312
33.4004,198.9861,199.7151
33.5004,200.2068,199.8328
33.6004,198.9861,199.9129
33.7004,201.4275,200.0062
33.8004,200.2068,200.0784
33.9004,200.2068,200.1756
34.0004,201.4275,200.3035
34.1004,198.9861,200.4407
34.2004,202.6482,200.5857
34.3004,197.7654,200.6448
34.4004,200.2068,200.575
34.5004,201.4275,200.5257
34.6004,202.6482,200.5247
34.7004,200.2068,200.4524
34.8004,197.7654,200.4593
34.9004,197.7654,200.4358
35.0004,201.4275,200.4095
35.1004,196.5447,200.3265
35.2004,201.4275,200.2952
35.3004,201.4275,200.2806
35.4004,198.9861,200.4329
35.5004,200.2068,200.4891
35.6004,200.2068,200.4988
35.7004,205.0896,200.5296
35.8004,198.9861,200.5784
35.9004,198.9861,200.6297
36.0004,201.4275,200.6907
36.1004,201.4275,200.8143
36.2004,201.4275,200.8426
36.3004,200.2068,200.931
36.4004,200.2068,201.0042
36.5004,200.2068,201.1946
36.6004,201.4275,201.3855
36.7004,201.4275,201.5257
36.8004,201.4275,201.6653
36.9004,202.6482,201.7908
37.0004,202.6482,201.8362
37.1004,201.4275,201.9275
37.2004,201.4275,202.0062
37.3004,201.4275,202.0643
37.4004,202.6482,202.0828
37.5004,201.4275,201.9939
37.6004,200.2068,201.9256
37.7004,202.6482,201.9524
37.8004,202.6482,201.9393
37.9004,202.6482,202.0149
38.0004,202.6482,202.0599
38.1004,200.2068,202.0291
38.2004,202.6482,202.0574
38.3004,200.2068,201.992
38.4004,200.2068,201.9739
38.5004,200.2068,202.0452
38.6004,201.4275,202.0081
38.7004,202.6482,201.969
38.8004,200.2068,201.9271
38.9004,200.2068,201.8846
39.0004,201.4275,201.9012
39.1004,200.2068,201.9227
39.2004,200.2068,201.9056
39.3004,200.2068,202.0477
39.4004,202.6482,202.0994
39.5004,202.6482,202.0911
39.6004,201.4275,202.1741
39.7004,205.0896,202.1722
39.8004,201.4275,202.2503
39.9004,198.9861,202.2605
40.0004,200.2068,202.3079
40.1004,201.4275,202.3558
40.2004,201.4275,202.3997
40.3004,202.6482,202.3387
40.4004,202.6482,202.2962
40.5004,202.6482,202.3123
40.6004,200.2068,202.2967
40.7004,202.6482,202.3182
40.8004,201.4275,202.2874
40.9004,200.2068,202.3396
41.0004,201.4275,202.3289
41.1004,200.2068,202.3294
41.2004,200.2068,202.3597
41.3004,203.8689,202.3992
41.4004,203.8689,202.5081
41.5004,201.4275,202.4983
41.6004,203.8689,202.5271
41.7004,205.0896,202.5418
41.8004,205.0896,202.5384
41.9004,202.6482,202.4979
42.0004,202.6482,202.4998
42.1004,200.2068,202.4856
42.2004,202.6482,202.4842
42.3004,203.8689,202.4593
42.4004,201.4275,202.428
42.5004,203.8689,202.4793
42.6004,200.2068,202.4866
42.7004,202.6482,202.5799
42.8004,201.4275,202.6263
42.9004,201.4275,202.7347
43.0004,202.6482,202.7898
43.1004,201.4275,202.8558
43.2004,201.4275,202.888
43.3004,202.6482,202.9271
43.4004,201.4275,202.9549
43.5004,202.6482,202.9373
43.6004,202.6482,202.9451
43.7004,201.4275,202.9231
43.8004,202.6482,202.9822
43.9004,203.8689,202.9212
44.0004,202.6482,202.9222
44.1004,201.4275,202.9002
44.2004,205.0896,202.8685
44.3004,202.6482,202.8978
44.4004,201.4275,202.8924
44.5004,202.6482,202.9168
44.6004,202.6482,202.9588
44.7004,201.4275,202.9349
44.8004,203.8689,202.9285
44.9004,200.2068,202.9456
45.0004,202.6482,202.9573
45.1004,202.6482,202.9842
45.2004,201.4275,203.0579
45.3004,203.8689,203.1204
45.4004,203.8689,203.181
45.5004,202.6482,203.2605
45.6004,202.6482,203.3938
45.7004,201.4275,203.5218
45.8004,202.6482,203.596
45.9004,203.8689,203.6678
46.0004,205.0896,203.7483
46.1004,205.0896,203.827
46.2004,202.6482,203.9554
46.3004,203.8689,204.0691
46.4004,205.0896,204.1111
46.5004,205.0896,204.1028
46.6004,202.6482,204.054
46.7004,203.8689,204.1004
46.8004,202.6482,204.073
46.9004,203.8689,204.0359
47.0004,205.0896,204.0057
47.1004,205.0896,203.949
47.2004,202.6482,203.8157
47.3004,202.6482,203.7308
47.4004,203.8689,203.7083
47.5004,202.6482,203.6702
47.6004,203.8689,203.6668
47.7004,205.0896,203.6092
47.8004,203.8689,203.6517
47.9004,202.6482,203.7054
48.0004,203.8689,203.6604
48.1004,203.8689,203.6307
48.2004,203.8689,203.6268
48.3004,203.8689,203.6043
48.4004,205.0896,203.5892
48.5004,203.8689,203.6824
48.6004,203.8689,203.6946
